id,externalID,channelName,channelLabel,address,direction,unit,enum,scale,type,samplingPeriod,data.minValue,data.maxValue,data.initialValue,data.value,objectId,directionId,typeId,driverName,ioObject,Throttlevalveid
aa692fa7962ecfce66f37c2bf3392cd4,729,MAIN.ISOThrottleValve.Out.Target_Pressure,MAIN_ISOThrottleValve_Out_Target_Pressure,,OUT,,,,REAL,0,0,0,0,0,69,2,2,TwinCAT,ISOThrottleValve,1
2cbcbe87abac7cbcf513ec34bc3887f1,730,MAIN.ISOThrottleValve.Out.Target_Position,MAIN_ISOThrottleValve_Out_Target_Position,,OUT,,,,REAL,0,0,0,0,0,69,2,2,TwinCAT,ISOThrottleValve,1
d75bf2684c7c05fcc17d8b87756e8e79,731,MAIN.ISOThrottleValve.Out.Pressure_Input_Digital_Sensor_1,MAIN_ISOThrottleValve_Out_Pressure_Input_Digital_Sensor_1,,OUT,,,,REAL,0,0,0,0,0,69,2,2,TwinCAT,ISOThrottleValve,1
56c0f7205c177deae2e892af362baa19,732,MAIN.ISOThrottleValve.Out.Pressure_Input_Digital_Sensor_2,MAIN_ISOThrottleValve_Out_Pressure_Input_Digital_Sensor_2,,OUT,,,,REAL,0,0,0,0,0,69,2,2,TwinCAT,ISOThrottleValve,1
acf67f35f6018b5c3120cfc808f2b35a,733,MAIN.ISOThrottleValve.Out.Control_Mode,MAIN_ISOThrottleValve_Out_Control_Mode,,OUT,,,,SINT,0,0,0,0,0,69,2,9,TwinCAT,ISOThrottleValve,1
66fca8bcfa3a0bf2f984ef9b22400306,734,MAIN.ISOThrottleValve.Out.General_Control_Setpoint,MAIN_ISOThrottleValve_Out_General_Control_Setpoint,,OUT,,,,UINT,0,0,0,0,0,69,2,3,TwinCAT,ISOThrottleValve,1
edd8294d7b19fb76487557f49a247714,735,MAIN.ISOThrottleValve.Out.Pressure_Ramp_Time,MAIN_ISOThrottleValve_Out_Pressure_Ramp_Time,,OUT,,,,REAL,0,0,0,0,0,69,2,2,TwinCAT,ISOThrottleValve,1
a24d42d4b36d76e816b3b5c098f14217,736,MAIN.ISOThrottleValve.In.Actual_Pressure,MAIN_ISOThrottleValve_In_Actual_Pressure,,IN,,,,REAL,0,0,0,0,0,69,1,2,TwinCAT,ISOThrottleValve,1
a5e738e644974ae27fe4d65d796e5074,737,MAIN.ISOThrottleValve.In.Pressure_Sensor_1,MAIN_ISOThrottleValve_In_Pressure_Sensor_1,,IN,,,,REAL,0,0,0,0,0,69,1,2,TwinCAT,ISOThrottleValve,1
fa9f41e24151c3fb7dabed8ce5767e65,738,MAIN.ISOThrottleValve.In.Pressure_Sensor_2,MAIN_ISOThrottleValve_In_Pressure_Sensor_2,,IN,,,,REAL,0,0,0,0,0,69,1,2,TwinCAT,ISOThrottleValve,1
e9eca5296777d59680fd6fe52dc8153b,739,MAIN.ISOThrottleValve.In.Actual_Position,MAIN_ISOThrottleValve_In_Actual_Position,,IN,,,,REAL,0,0,0,0,0,69,1,2,TwinCAT,ISOThrottleValve,1
b2682357b4ed7d4778a3584d509c0066,740,MAIN.ISOThrottleValve.In.Control_Mode,MAIN_ISOThrottleValve_In_Control_Mode,,IN,,,,SINT,0,0,0,0,0,69,1,9,TwinCAT,ISOThrottleValve,1
5347064f929b83981f4b109933652f32,741,MAIN.ISOThrottleValve.In.Error_Number,MAIN_ISOThrottleValve_In_Error_Number,,IN,,,,UINT,0,0,0,0,0,69,1,3,TwinCAT,ISOThrottleValve,1
a8a732c505b79c2260dc8f703709ab8a,742,MAIN.ISOThrottleValve.In.General_Status,MAIN_ISOThrottleValve_In_General_Status,,IN,,,,UINT,0,0,0,0,0,69,1,3,TwinCAT,ISOThrottleValve,1
acce2eb7c17b53b2c00074796890afa5,743,MAIN.ISOThrottleValve.In.General_Warnings,MAIN_ISOThrottleValve_In_General_Warnings,,IN,,,,UINT,0,0,0,0,0,69,1,3,TwinCAT,ISOThrottleValve,1
2d487e626252dc07c0fd5f4abd6e0eb0,744,MAIN.ISOThrottleValve.In.Extended_Warnings,MAIN_ISOThrottleValve_In_Extended_Warnings,,IN,,,,UINT,0,0,0,0,0,69,1,3,TwinCAT,ISOThrottleValve,1
277452310e3773cbeae701a158fedc9c,745,MAIN.ISOThrottleValve.In.HW_state,MAIN_ISOThrottleValve_In_HW_state,,IN,,,,UINT,0,0,0,0,0,69,1,3,TwinCAT,ISOThrottleValve,1
